"title","description","date","link","category","content"
"Israeli ultra-Orthodox party quits Netanyahu government over conscription","Resignation of United Torah Judaism lawmakers leaves Netanyahu with razor-thin 61-seat majority in the 120 seat Knesset.","Published On 15 Jul 202515 Jul 2025","https://www.aljazeera.com/news/2025/7/15/israeli-ultra-orthodox-party-quits-netanyahu-government-over-conscription","tag/israel-palestine-conflict/","Israel’s ultra-Orthodox party, United Torah Judaism (UTJ), has announced it is quitting the country’s fractious right-wing coalition due to a long-running dispute over mandatory military service, threatening Prime Minister Benjamin Netanyahu’s hold on power. Six of the remaining seven members of UTJ, which is comprised of the Degel HaTorah and Agudat Yisrael factions, wrote letters of resignation, Israeli media reported late on Monday. UTJ chairman Yitzhak Goldknopf had resigned a month ago. A spokesperson for Goldknopf confirmed that, in all, seven UTJ Knesset members are leaving the government. Degel HaTorah was quoted by news reports as saying the decision was made “in accordance with the directive” of the group’s spiritual leader, Rabbi Dov Lando. Degel Hatorah said in a statement that after conferring with its head rabbis, “and following repeated violations by the government of its commitments to ensure the status of holy yeshiva students who diligently engage in their studies … [its MKs] have announced their resignation from the coalition and the government”. The decision would leave Netanyahu with a razor-thin majority of 61 seats in the 120-seat Knesset, or parliament. It was not clear whether Shas, another ultra-Orthodox party, would follow suit.    Ultra-Orthodox lawmakers have long threatened to leave the coalition over the conscription bill. They argue that a bill to exempt “yeshiva” or seminary students from conscription was a key promise in their agreement to join Netanyahu’s coalition in late 2022. In June, on the eve of Israel’s war with Iran, the coalition barely survived after governing lawmakers reached a deal with ultra-Orthodox parties regarding exemptions to the mandatory military service. The ultra-Orthodox have long been exempt from military service, which applies to most other young Israelis. But last year, the Supreme Court ordered the Ministry of Defense to end that practice and start conscripting seminary students. Netanyahu had been pushing hard to resolve the deadlock over the new military conscription bill, which has led to the present crisis. He is under pressure from his own Likud party to draft more ultra-Orthodox men and impose penalties on dodgers, a red line for the Shas party, which demands a law guaranteeing its members’ permanent exemption from military service. Netanyahu’s coalition, formed in December 2022, is one of the most far-right governments in the country’s history."
"Updates: Israel guns down hungry Palestinians in Gaza mass-casualty attack","Israeli troops again open fire on desperate aid seekers, killing two and wounding 30 others near Rafah.","Published On 15 Jul 202515 Jul 2025","https://www.aljazeera.com/news/liveblog/2025/7/15/live-israel-bombs-gaza-refugee-camp-settlers-attack-west-bank-village","tag/israel-palestine-conflict/","This live page is now closed."
"Israel bombards Gaza, killing 78, as truce talks stall","The attacks come amid a worsening hunger crisis as Israel severely restricts entry of food, fuel, water and medicines.","Published On 14 Jul 202514 Jul 2025","https://www.aljazeera.com/news/2025/7/14/israel-continues-to-pound-gaza-killing-72-as-truce-talks-stall","tag/israel-palestine-conflict/","Israeli forces have continued to pound the besieged Gaza Strip, killing at least 78 Palestinians, including several aid seekers, as ceasefire talks stall amid a deepening fuel and hunger crisis. An Israeli attack near an aid distribution point in Rafah in southern Gaza killed at least five people who were seeking aid on Monday, the official Palestinian news agency Wafa reported. The killings raised the death toll of Palestinians killed near aid sites run by the controversial Israeli and US-backed Gaza Humanitarian Foundation (GHF) to 838, according to Wafa. In Khan Younis, also in southern Gaza, an Israeli strike on a displacement camp killed nine people and wounded many others. In central Gaza’s Bureij refugee camp, four people were killed when an Israeli air strike hit a commercial centre, Wafa said.    Israeli forces also resumed stepping up attacks in northern Gaza and Gaza City. Israeli media reported an ambush in Gaza City, with a tank hit by rocket fire and later, with small arms. A helicopter was seen evacuating casualties. The Israeli military later confirmed that three soldiers were killed in the incident. Al Jazeera’s Tareq Abu Azzoum, reporting from Deir el-Balah, said Israeli forces responded with “massive air strikes in the vicinity of [the] Tuffah and Shujayea neighbourhoods, levelling residential buildings”. The Wafa news agency said at least 24 Palestinians were killed in Gaza City and dozens more were wounded. The attacks come as UN agencies continue to plead for more aid to be allowed into Gaza, where famine looms and a severe fuel shortage has brought the already battered healthcare sector to its knees. Gaza’s water crisis has also intensified since Israel blocked nearly all fuel shipments into the enclave on March 2. With no fuel, desalination plants, wastewater treatment facilities and pumping stations have largely shut down. Egypt’s foreign minister said on Monday that the flow of aid into Gaza has not increased despite an agreement last week between Israel and the European Union that should have had that result. “Nothing has changed [on the ground],” Badr Abdelatty told reporters ahead of the EU-Middle East meeting in Brussels. The EU’s top diplomat said on Thursday that the bloc and Israel agreed to improve Gaza’s humanitarian situation, including increasing the number of aid trucks and opening crossing points and aid routes. When asked what steps Israel has taken, Israeli Minister of Foreign Affairs Gideon Saar referred to an understanding with the EU but did not provide details on the implementation. Asked if there were improvements after the agreement, Jordanian Minister of Foreign Affairs and Expatriates Ayman Safadi told reporters that the situation in Gaza remains “catastrophic”. “There is a real catastrophe happening in Gaza resulting from the continuation of the Israeli siege,” he said. Meanwhile, stuttering ceasefire talks entered a second week on Monday, with mediators seeking to close the gap between Israel and Hamas. The indirect negotiations in Qatar appear to still remain deadlocked after both sides blamed the other for blocking a deal for the release of captives and a 60-day ceasefire.    An official with knowledge of the talks said they were “ongoing” in Doha on Monday, the AFP news agency reported. “Discussions are currently focused on the proposed maps for the deployment of Israeli forces within Gaza,” the source reportedly said. “Mediators are actively exploring innovative mechanisms to bridge the remaining gaps and maintain momentum in the negotiations,” the source added on condition of anonymity. Hamas accused Israeli Prime Minister Benjamin Netanyahu, who says he wants to see the Palestinian group destroyed, of being the main obstacle. “Netanyahu is skilled at sabotaging one round of negotiations after another, and is unwilling to reach any agreement,” the group wrote on Telegram. Netanyahu is under growing pressure to end the war, with military casualties rising and public frustration mounting. He also faces backlash over the feasibility and ethics of a plan to build a so-called “humanitarian city” from scratch on the ruins of southern Gaza’s Rafah to house 600,000 Palestinians if and when a ceasefire takes hold. Israel’s security establishment is reported to be unhappy with the plan, which the United Nations agency for Palestinian refugees, UNRWA, said amounts to plans for a “concentration camp”."
"Church leaders, diplomats, condemn Israeli settler violence in West Bank","Delegates from more than 20 countries visited the town of Taybeh after several attacks by Israeli settlers.","Published On 14 Jul 202514 Jul 2025","https://www.aljazeera.com/news/2025/7/14/church-leaders-diplomats-condemn-israeli-settler-violence-in-west-bank","tag/israel-palestine-conflict/","Top church leaders and diplomats have called on Israeli settlers to be held accountable during a visit to the predominantly Christian town of Taybeh in the occupied West Bank, after settlers intensified attacks on the area in recent weeks. Representatives from more than 20 countries including the United Kingdom, Russia, China, Japan, Jordan, and the European Union, were among the delegates who visited the village in the West Bank on Monday. Speaking in Taybeh, Greek Orthodox Patriarch Theophilos III and Latin Patriarch Pierbattista Pizzaballa denounced an incident last week when settlers set fires near the community’s church. They said that Israeli authorities failed to respond to emergency calls for help from the Palestinian community. In a separate statement, the patriarchs and heads of churches in Jerusalem demanded an investigation into the incident and called for the settlers to be held accountable by the Israeli authorities, “who facilitate and enable their presence around Taybeh”. The church leaders also said that settlers had brought their cattle to graze on Palestinian lands in the area, set fire to several homes last month, and put up a sign reading “there is no future for you here”.  Al Jazeera’s Nida Ibrahim, reporting from Doha, said church leaders have been calling this a “systemic and targeted attack” against Christians. “About 50,000 of them live in the occupied West Bank, a small but very proud minority,” Ibrahim said. “They also consider themselves under attack, not just because they’re Christians but because they’re Palestinians.” The church has been trying for years to “enhance the steadfastness of the Christian community in Palestine”, Ibrahim said. “We’ve been seeing how Israeli settlers have been pushing them out of their lands, out of their homes.” Settlers, who are often armed, are backed by Israeli army soldiers and regularly carry out attacks against Palestinians, their lands, and property. Several rights groups have documented repeated instances where Israeli settlers in the West Bank ransack Palestinian neighbourhoods and towns, burning homes and vehicles. Assaults have grown in scale and intensity since Israel’s brutal war on Gaza began in October 2023. These assaults also include large-scale incursions by Israeli forces into Palestinian towns and cities across the West Bank that have killed hundreds of Palestinians and displaced tens of thousands. Pizzaballa, the top Catholic cleric in Jerusalem, said he believed the West Bank was becoming a lawless area. “The only law [in the West Bank] is that of power, of those who have the force, not the law. We must work for the law to return to this part of the country, so anyone can appeal to the law to enforce their rights,” Pizzaballa told reporters. He and Theophilos prayed together at the Church of St George, whose religious site dates back centuries, adjacent to the area where settlers ignited the fires.    The visit comes as Palestinians report a new surge of settler violence. On Monday, Israeli settlers and soldiers launched several more attacks across the West Bank, including in Bethlehem, where settlers uprooted hundreds of olive trees in al-Maniya village, southeast of the city, and Israeli authorities demolished a four-storey residential building. The head of the al-Maniya village council, Zayed Kawazba, told Wafa news agency that a group of settlers stormed al-Qarn in the centre of al-Maniya, set up four tents and uprooted approximately 1,500 olive saplings belonging to families from the al-Motawer and Jabarin clans. A day earlier, hundreds descended on the village of Al-Mazraa ash-Sharqiya, south of Taybeh, for the funeral of two young men killed during a settler attack on Friday. The occupied West Bank is home to more than three million Palestinians who live under harsh Israeli military rule, with the Palestinian Authority governing in limited areas separated from each other by a myriad of Israeli checkpoints. Israel has so far built more than 100 settlements across the West Bank, which are home to about 500,000 settlers who live illegally on private Palestinian land."
"An open letter from the presidents of Gaza universities","Our campuses may have been razed, but our universities continue to exist.","Opinion by Ayman Sobh and Omar Milad and Asad AsaadAyman Sobh|Omar Milad|Asad AsaadPublished On 14 Jul 202514 Jul 2025","https://www.aljazeera.com/opinions/2025/7/14/an-open-letter-from-the-presidents-of-gaza-universities","tag/israel-palestine-conflict/","We, the presidents of Gaza’s three non-profit universities— Al-Aqsa University, Al-Azhar University-Gaza, and the Islamic University of Gaza — together accounting for the vast majority of Gaza’s students and faculty members, issue this unified statement to the international academic community at a time of unprecedented devastation of higher education in Gaza. Israel’s ongoing genocidal war has brought about scholasticide—a systematic and deliberate attempt to eliminate our universities, their infrastructure, faculty, and students. This destruction is not collateral; it is part of a targeted effort to eradicate the foundations of higher education in Gaza—foundations that have long stood as pillars of resilience, hope, and intellectual freedom under conditions of occupation and siege. While academic institutions across Palestine have faced attacks for decades, what we are witnessing today is an escalation: a shift from repeated acts of destruction to an attempt at total annihilation.     Yet, we remain resolute. For more than a year, we have mobilised and taken steps to resist this assault and ensure that our universities endure. Despite the physical obliteration of campuses, laboratories, libraries, and other facilities, and the assassination of our students and colleagues, our universities continue to exist. We are more than buildings — we are academic communities, comprised of students, faculty, and staff, still alive and determined to carry forward our mission. As articulated in the Unified Emergency Statement from Palestinian Academics and Administrators issued on May 29, 2024, “Israeli occupation forces have demolished our buildings, but our universities live on.” For over a year, our faculty, staff and students have persisted in our core mission — teaching — under unimaginably harsh conditions. Constant bombardment, starvation, restrictions on internet access, unstable electricity, and the ongoing horrors of genocide have not broken our will. We are still here, still teaching, and still committed to the future of education in Gaza. We urgently call on our colleagues around the world to work for: We appeal to the international academic community — our colleagues, institutions, and friends — to: Last year, we formally established the Emergency Committee of Universities in Gaza, representing our three institutions and affiliated colleges — together enrolling between 80 and 85 percent of Gaza universities’ students. The committee exists to resist the erasure of our universities and offer a unified voice for Gaza’s academic community. It has since established subject-focused subcommittees to serve as trusted and coordinated channels for support. We call upon academic communities around the world to coordinate themselves in response to this call. The time for symbolic solidarity has passed. We now ask for practical, structured, and enduring partnership. Work alongside us to ensure that Gaza’s universities live on and remain a vital part of our collective future. The views expressed in this article are the authors’ own and do not necessarily reflect Al Jazeera’s editorial stance."
"Israeli ultra-Orthodox party quits Netanyahu government over conscription","Resignation of United Torah Judaism lawmakers leaves Netanyahu with razor-thin 61-seat majority in the 120 seat Knesset.","Published On 15 Jul 202515 Jul 2025","https://www.aljazeera.com/news/2025/7/15/israeli-ultra-orthodox-party-quits-netanyahu-government-over-conscription","tag/israel-palestine-conflict/","Israel’s ultra-Orthodox party, United Torah Judaism (UTJ), has announced it is quitting the country’s fractious right-wing coalition due to a long-running dispute over mandatory military service, threatening Prime Minister Benjamin Netanyahu’s hold on power. Six of the remaining seven members of UTJ, which is comprised of the Degel HaTorah and Agudat Yisrael factions, wrote letters of resignation, Israeli media reported late on Monday. UTJ chairman Yitzhak Goldknopf had resigned a month ago. A spokesperson for Goldknopf confirmed that, in all, seven UTJ Knesset members are leaving the government. Degel HaTorah was quoted by news reports as saying the decision was made “in accordance with the directive” of the group’s spiritual leader, Rabbi Dov Lando. Degel Hatorah said in a statement that after conferring with its head rabbis, “and following repeated violations by the government of its commitments to ensure the status of holy yeshiva students who diligently engage in their studies … [its MKs] have announced their resignation from the coalition and the government”. The decision would leave Netanyahu with a razor-thin majority of 61 seats in the 120-seat Knesset, or parliament. It was not clear whether Shas, another ultra-Orthodox party, would follow suit.    Ultra-Orthodox lawmakers have long threatened to leave the coalition over the conscription bill. They argue that a bill to exempt “yeshiva” or seminary students from conscription was a key promise in their agreement to join Netanyahu’s coalition in late 2022. In June, on the eve of Israel’s war with Iran, the coalition barely survived after governing lawmakers reached a deal with ultra-Orthodox parties regarding exemptions to the mandatory military service. The ultra-Orthodox have long been exempt from military service, which applies to most other young Israelis. But last year, the Supreme Court ordered the Ministry of Defense to end that practice and start conscripting seminary students. Netanyahu had been pushing hard to resolve the deadlock over the new military conscription bill, which has led to the present crisis. He is under pressure from his own Likud party to draft more ultra-Orthodox men and impose penalties on dodgers, a red line for the Shas party, which demands a law guaranteeing its members’ permanent exemption from military service. Netanyahu’s coalition, formed in December 2022, is one of the most far-right governments in the country’s history."
"Updates: Israel guns down hungry Palestinians in Gaza mass-casualty attack","Israeli troops again open fire on desperate aid seekers, killing two and wounding 30 others near Rafah.","Published On 15 Jul 202515 Jul 2025","https://www.aljazeera.com/news/liveblog/2025/7/15/live-israel-bombs-gaza-refugee-camp-settlers-attack-west-bank-village","tag/israel-palestine-conflict/","This live page is now closed."
"Israel bombards Gaza, killing 78, as truce talks stall","The attacks come amid a worsening hunger crisis as Israel severely restricts entry of food, fuel, water and medicines.","Published On 14 Jul 202514 Jul 2025","https://www.aljazeera.com/news/2025/7/14/israel-continues-to-pound-gaza-killing-72-as-truce-talks-stall","tag/israel-palestine-conflict/","Israeli forces have continued to pound the besieged Gaza Strip, killing at least 78 Palestinians, including several aid seekers, as ceasefire talks stall amid a deepening fuel and hunger crisis. An Israeli attack near an aid distribution point in Rafah in southern Gaza killed at least five people who were seeking aid on Monday, the official Palestinian news agency Wafa reported. The killings raised the death toll of Palestinians killed near aid sites run by the controversial Israeli and US-backed Gaza Humanitarian Foundation (GHF) to 838, according to Wafa. In Khan Younis, also in southern Gaza, an Israeli strike on a displacement camp killed nine people and wounded many others. In central Gaza’s Bureij refugee camp, four people were killed when an Israeli air strike hit a commercial centre, Wafa said.    Israeli forces also resumed stepping up attacks in northern Gaza and Gaza City. Israeli media reported an ambush in Gaza City, with a tank hit by rocket fire and later, with small arms. A helicopter was seen evacuating casualties. The Israeli military later confirmed that three soldiers were killed in the incident. Al Jazeera’s Tareq Abu Azzoum, reporting from Deir el-Balah, said Israeli forces responded with “massive air strikes in the vicinity of [the] Tuffah and Shujayea neighbourhoods, levelling residential buildings”. The Wafa news agency said at least 24 Palestinians were killed in Gaza City and dozens more were wounded. The attacks come as UN agencies continue to plead for more aid to be allowed into Gaza, where famine looms and a severe fuel shortage has brought the already battered healthcare sector to its knees. Gaza’s water crisis has also intensified since Israel blocked nearly all fuel shipments into the enclave on March 2. With no fuel, desalination plants, wastewater treatment facilities and pumping stations have largely shut down. Egypt’s foreign minister said on Monday that the flow of aid into Gaza has not increased despite an agreement last week between Israel and the European Union that should have had that result. “Nothing has changed [on the ground],” Badr Abdelatty told reporters ahead of the EU-Middle East meeting in Brussels. The EU’s top diplomat said on Thursday that the bloc and Israel agreed to improve Gaza’s humanitarian situation, including increasing the number of aid trucks and opening crossing points and aid routes. When asked what steps Israel has taken, Israeli Minister of Foreign Affairs Gideon Saar referred to an understanding with the EU but did not provide details on the implementation. Asked if there were improvements after the agreement, Jordanian Minister of Foreign Affairs and Expatriates Ayman Safadi told reporters that the situation in Gaza remains “catastrophic”. “There is a real catastrophe happening in Gaza resulting from the continuation of the Israeli siege,” he said. Meanwhile, stuttering ceasefire talks entered a second week on Monday, with mediators seeking to close the gap between Israel and Hamas. The indirect negotiations in Qatar appear to still remain deadlocked after both sides blamed the other for blocking a deal for the release of captives and a 60-day ceasefire.    An official with knowledge of the talks said they were “ongoing” in Doha on Monday, the AFP news agency reported. “Discussions are currently focused on the proposed maps for the deployment of Israeli forces within Gaza,” the source reportedly said. “Mediators are actively exploring innovative mechanisms to bridge the remaining gaps and maintain momentum in the negotiations,” the source added on condition of anonymity. Hamas accused Israeli Prime Minister Benjamin Netanyahu, who says he wants to see the Palestinian group destroyed, of being the main obstacle. “Netanyahu is skilled at sabotaging one round of negotiations after another, and is unwilling to reach any agreement,” the group wrote on Telegram. Netanyahu is under growing pressure to end the war, with military casualties rising and public frustration mounting. He also faces backlash over the feasibility and ethics of a plan to build a so-called “humanitarian city” from scratch on the ruins of southern Gaza’s Rafah to house 600,000 Palestinians if and when a ceasefire takes hold. Israel’s security establishment is reported to be unhappy with the plan, which the United Nations agency for Palestinian refugees, UNRWA, said amounts to plans for a “concentration camp”."
"Church leaders, diplomats, condemn Israeli settler violence in West Bank","Delegates from more than 20 countries visited the town of Taybeh after several attacks by Israeli settlers.","Published On 14 Jul 202514 Jul 2025","https://www.aljazeera.com/news/2025/7/14/church-leaders-diplomats-condemn-israeli-settler-violence-in-west-bank","tag/israel-palestine-conflict/","Top church leaders and diplomats have called on Israeli settlers to be held accountable during a visit to the predominantly Christian town of Taybeh in the occupied West Bank, after settlers intensified attacks on the area in recent weeks. Representatives from more than 20 countries including the United Kingdom, Russia, China, Japan, Jordan, and the European Union, were among the delegates who visited the village in the West Bank on Monday. Speaking in Taybeh, Greek Orthodox Patriarch Theophilos III and Latin Patriarch Pierbattista Pizzaballa denounced an incident last week when settlers set fires near the community’s church. They said that Israeli authorities failed to respond to emergency calls for help from the Palestinian community. In a separate statement, the patriarchs and heads of churches in Jerusalem demanded an investigation into the incident and called for the settlers to be held accountable by the Israeli authorities, “who facilitate and enable their presence around Taybeh”. The church leaders also said that settlers had brought their cattle to graze on Palestinian lands in the area, set fire to several homes last month, and put up a sign reading “there is no future for you here”.  Al Jazeera’s Nida Ibrahim, reporting from Doha, said church leaders have been calling this a “systemic and targeted attack” against Christians. “About 50,000 of them live in the occupied West Bank, a small but very proud minority,” Ibrahim said. “They also consider themselves under attack, not just because they’re Christians but because they’re Palestinians.” The church has been trying for years to “enhance the steadfastness of the Christian community in Palestine”, Ibrahim said. “We’ve been seeing how Israeli settlers have been pushing them out of their lands, out of their homes.” Settlers, who are often armed, are backed by Israeli army soldiers and regularly carry out attacks against Palestinians, their lands, and property. Several rights groups have documented repeated instances where Israeli settlers in the West Bank ransack Palestinian neighbourhoods and towns, burning homes and vehicles. Assaults have grown in scale and intensity since Israel’s brutal war on Gaza began in October 2023. These assaults also include large-scale incursions by Israeli forces into Palestinian towns and cities across the West Bank that have killed hundreds of Palestinians and displaced tens of thousands. Pizzaballa, the top Catholic cleric in Jerusalem, said he believed the West Bank was becoming a lawless area. “The only law [in the West Bank] is that of power, of those who have the force, not the law. We must work for the law to return to this part of the country, so anyone can appeal to the law to enforce their rights,” Pizzaballa told reporters. He and Theophilos prayed together at the Church of St George, whose religious site dates back centuries, adjacent to the area where settlers ignited the fires.    The visit comes as Palestinians report a new surge of settler violence. On Monday, Israeli settlers and soldiers launched several more attacks across the West Bank, including in Bethlehem, where settlers uprooted hundreds of olive trees in al-Maniya village, southeast of the city, and Israeli authorities demolished a four-storey residential building. The head of the al-Maniya village council, Zayed Kawazba, told Wafa news agency that a group of settlers stormed al-Qarn in the centre of al-Maniya, set up four tents and uprooted approximately 1,500 olive saplings belonging to families from the al-Motawer and Jabarin clans. A day earlier, hundreds descended on the village of Al-Mazraa ash-Sharqiya, south of Taybeh, for the funeral of two young men killed during a settler attack on Friday. The occupied West Bank is home to more than three million Palestinians who live under harsh Israeli military rule, with the Palestinian Authority governing in limited areas separated from each other by a myriad of Israeli checkpoints. Israel has so far built more than 100 settlements across the West Bank, which are home to about 500,000 settlers who live illegally on private Palestinian land."
"An open letter from the presidents of Gaza universities","Our campuses may have been razed, but our universities continue to exist.","Opinion by Ayman Sobh and Omar Milad and Asad AsaadAyman Sobh|Omar Milad|Asad AsaadPublished On 14 Jul 202514 Jul 2025","https://www.aljazeera.com/opinions/2025/7/14/an-open-letter-from-the-presidents-of-gaza-universities","tag/israel-palestine-conflict/","We, the presidents of Gaza’s three non-profit universities— Al-Aqsa University, Al-Azhar University-Gaza, and the Islamic University of Gaza — together accounting for the vast majority of Gaza’s students and faculty members, issue this unified statement to the international academic community at a time of unprecedented devastation of higher education in Gaza. Israel’s ongoing genocidal war has brought about scholasticide—a systematic and deliberate attempt to eliminate our universities, their infrastructure, faculty, and students. This destruction is not collateral; it is part of a targeted effort to eradicate the foundations of higher education in Gaza—foundations that have long stood as pillars of resilience, hope, and intellectual freedom under conditions of occupation and siege. While academic institutions across Palestine have faced attacks for decades, what we are witnessing today is an escalation: a shift from repeated acts of destruction to an attempt at total annihilation.     Yet, we remain resolute. For more than a year, we have mobilised and taken steps to resist this assault and ensure that our universities endure. Despite the physical obliteration of campuses, laboratories, libraries, and other facilities, and the assassination of our students and colleagues, our universities continue to exist. We are more than buildings — we are academic communities, comprised of students, faculty, and staff, still alive and determined to carry forward our mission. As articulated in the Unified Emergency Statement from Palestinian Academics and Administrators issued on May 29, 2024, “Israeli occupation forces have demolished our buildings, but our universities live on.” For over a year, our faculty, staff and students have persisted in our core mission — teaching — under unimaginably harsh conditions. Constant bombardment, starvation, restrictions on internet access, unstable electricity, and the ongoing horrors of genocide have not broken our will. We are still here, still teaching, and still committed to the future of education in Gaza. We urgently call on our colleagues around the world to work for: We appeal to the international academic community — our colleagues, institutions, and friends — to: Last year, we formally established the Emergency Committee of Universities in Gaza, representing our three institutions and affiliated colleges — together enrolling between 80 and 85 percent of Gaza universities’ students. The committee exists to resist the erasure of our universities and offer a unified voice for Gaza’s academic community. It has since established subject-focused subcommittees to serve as trusted and coordinated channels for support. We call upon academic communities around the world to coordinate themselves in response to this call. The time for symbolic solidarity has passed. We now ask for practical, structured, and enduring partnership. Work alongside us to ensure that Gaza’s universities live on and remain a vital part of our collective future. The views expressed in this article are the authors’ own and do not necessarily reflect Al Jazeera’s editorial stance."
